review_id,year,month,seat_type,type_of_traveller,route,reviewer_country,overall_rating_10,sentiment_score,recommended,top_praise,top_praise_clean,cluster_id,cluster_label,sentiment_type
512,2023,5,Economy Class,Solo Leisure,Bangkok to Zagreb via Doha,United Kingdom,10,0.9,Yes,"courteous and helpful staff, good food","courteous and helpful staff, good food",2,Friendly & Helpful,praise
513,2023,4,Economy Class,Couple Leisure,Thailand to Madrid via Doha,Spain,9,0.9,Yes,big thank you to all the crew,big thank you to all the crew,6,Cabin Crew Friendly,praise
516,2023,4,Economy Class,Couple Leisure,Brisbane to Manchester via Doha,Australia,10,0.85,Yes,"punctuality, crew welcoming","punctuality, crew welcoming",6,Cabin Crew Friendly,praise
517,2023,4,Economy Class,Solo Leisure,Dallas to Dhaka via Doha,United States,9,0.9,Yes,"outstanding cabin crew, warm, welcoming","outstanding cabin crew, warm, welcoming",6,Cabin Crew Friendly,praise
518,2023,4,Business Class,Solo Leisure,Doha to Johannesburg,South Africa,2,-0.8,No,great and always willing to help crew,great and always willing to help crew,6,Cabin Crew Friendly,praise
519,2023,4,Business Class,Solo Leisure,Geneva to Doha,South Africa,10,-0.3,Yes,"Great service from flight crew, impeccable meal quality","great service from flight crew, impeccable meal quality",0,Food: Good/Great,praise
521,2023,4,Economy Class,Family Leisure,Dublin to Tokyo via Doha,Japan,6,0.2,Yes,A350-1000 seat comfort and design,a350-1000 seat comfort and design,3,Comfortable Seats,praise
522,2023,4,Economy Class,Solo Leisure,São Paulo to Cape Town via Doha,Brazil,7,-0.2,No,"Good meals, nice crew","good meals, nice crew",0,Food: Good/Great,praise
523,2023,4,Economy Class,Solo Leisure,Ho chi Minh City to Doha,Qatar,10,0.9,Yes,"exceptional service, warm and welcoming demeanor","exceptional service, warm and welcoming demeanor",4,Good <-> Excellent/Exceptional,praise
524,2023,4,Economy Class,Solo Leisure,Dublin to Nairobi via Doha,Ireland,10,0.9,Yes,Alina and her colleague were extremely kind and helpful,alina and her colleague were extremely kind and helpful,5,Class Experience,praise
525,2023,4,Economy Class,Couple Leisure,Manchester to Kuala Lumpur via Doha,United Kingdom,7,0.2,Yes,Flights on time and not an empty seat,flights on time and not an empty seat,8,Good <-> Excellent/Exceptional,praise
526,2023,3,Economy Class,Couple Leisure,Algiers to Riyadh via Doha,Algeria,9,0.9,Yes,"very attentive staff, punctual timetables, good services","very attentive staff, punctual timetables, good services",2,Friendly & Helpful,praise
528,2023,3,Economy Class,Solo Leisure,London to Bangkok via Doha,United Kingdom,10,0.9,Yes,Superb level of service,superb level of service,4,Good <-> Excellent/Exceptional,praise
529,2023,3,Economy Class,Couple Leisure,Barcelona to Goa via Doha,Spain,7,0.1,Yes,entertainment system with excellent choice,entertainment system with excellent choice,5,Class Experience,praise
530,2023,3,Economy Class,Solo Leisure,Bangkok to Brussels via Doha,Netherlands,10,0.9,Yes,"Excellent food, kind staff","excellent food, kind staff",2,Friendly & Helpful,praise
531,2023,3,Economy Class,Solo Leisure,Sharjah to Hamad,Australia,10,0.9,Yes,exceeded my expectations with his exceptional service,exceeded my expectations with his exceptional service,4,Good <-> Excellent/Exceptional,praise
532,2023,3,Economy Class,Solo Leisure,Miami to Kolkata via Doha,United States,10,0.9,Yes,Cabin crew like Hisham were excellent,cabin crew like hisham were excellent,6,Cabin Crew Friendly,praise
533,2023,3,Business Class,Couple Leisure,Kuala Lumpur to Doha,Qatar,10,0.9,Yes,in-flight service was fantastic,in-flight service was fantastic,8,Good <-> Excellent/Exceptional,praise
535,2023,3,Business Class,Solo Leisure,Ho Chi Minh to Manchester via Doha,United Kingdom,9,0.85,Yes,crew were friendly and very attentive,crew were friendly and very attentive,6,Cabin Crew Friendly,praise
536,2023,3,Economy Class,Family Leisure,Zagreb to Dubai via Doha,India,10,0.9,Yes,"inflight crew with a long smile, simply asked if I need anything","inflight crew with a long smile, simply asked if i need anything",6,Cabin Crew Friendly,praise
537,2023,3,Business Class,Solo Leisure,Brisibane to Zurich via Doha,Switzerland,4,-0.2,No,Amazing staff and great food in BNE to DOH leg,amazing staff and great food in bne to doh leg,0,Food: Good/Great,praise
538,2023,3,First Class,Business,Bangkok to Doha,Vietnam,8,-0.2,Yes,"Excellent business class, amazing space and care level","excellent business class, amazing space and care level",5,Class Experience,praise
539,2023,3,Economy Class,Solo Leisure,Cochin to Warsaw via Doha,Poland,10,0.9,Yes,"staff were helpful, good food","staff were helpful, good food",2,Friendly & Helpful,praise
540,2023,3,Economy Class,Solo Leisure,Sydney to Doha,United Kingdom,7,-0.3,Yes,cabin crew were very attentive and professional,cabin crew were very attentive and professional,6,Cabin Crew Friendly,praise
542,2023,3,Business Class,Couple Leisure,Cape Town to Gatwick via Doha,United Kingdom,2,-0.75,No,Qatar Airways Business Class to Cape Town was good,qatar airways business class to cape town was good,1,Doha Lounge Experience,praise
545,2023,3,Business Class,Solo Leisure,Brisbane to London via Doha,United Kingdom,9,0.9,Yes,incredible experience with Qatar,incredible experience with qatar,1,Doha Lounge Experience,praise
546,2023,3,Business Class,Business,Doha to Denpasar,United States,4,-0.3,No,Service in Business Class was excellent,service in business class was excellent,4,Good <-> Excellent/Exceptional,praise
550,2023,2,Economy Class,Solo Leisure,madrid to sharjah via dona,Spain,7,0.2,Yes,Free wine on long flights,free wine on long flights,8,Good <-> Excellent/Exceptional,praise
551,2023,2,Economy Class,Family Leisure,Dusseldorf to Doha,Germany,6,-0.2,Yes,"Service professional, food above average, flights on time","service professional, food above average, flights on time",0,Food: Good/Great,praise
552,2023,2,Business Class,Solo Leisure,Islamabad to Chicago via Doha,United States,10,0.8,Yes,cabin staff Ying and Komal were phenomenal,cabin staff ying and komal were phenomenal,6,Cabin Crew Friendly,praise
553,2023,2,Economy Class,Couple Leisure,Doha to Phuket,South Africa,10,0.9,Yes,very helpful and friendly crew,very helpful and friendly crew,6,Cabin Crew Friendly,praise
554,2023,2,Economy Class,Business,Singapore to Dubai via Doha,Australia,10,0.9,Yes,Service is top level that it beats SQ service,service is top level that it beats sq service,4,Good <-> Excellent/Exceptional,praise
555,2023,2,Business Class,Business,London to Goa via Doha,United Kingdom,10,0.9,Yes,extremely attentive and friendly cabin crew,extremely attentive and friendly cabin crew,6,Cabin Crew Friendly,praise
557,2023,2,Economy Class,Family Leisure,Dublin to Doha,United Kingdom,3,-0.3,No,"great crew, food and beverage good","great crew, food and beverage good",0,Food: Good/Great,praise
558,2023,2,Economy Class,Couple Leisure,Manchester to Auckland via Doha,United Kingdom,10,0.8,Yes,"cabin staff were run off their feet, credit to the firm","cabin staff were run off their feet, credit to the firm",6,Cabin Crew Friendly,praise
559,2023,2,Business Class,Solo Leisure,Doha to San Francisco,United States,10,0.9,Yes,Qsuites on the A350 are incredible,qsuites on the a350 are incredible,7,QSuites Experience,praise
560,2023,2,Business Class,Solo Leisure,Bangkok to Doha,United States,10,0.9,Yes,"unbeatable flight attendants, food, cleanliness","unbeatable flight attendants, food, cleanliness",6,Cabin Crew Friendly,praise
562,2023,2,Business Class,Couple Leisure,Doha to Male,United Kingdom,9,0.8,Yes,service was exceptional,service was exceptional,4,Good <-> Excellent/Exceptional,praise
563,2023,2,Premium Economy,Family Leisure,New York JFK to Islamabad via Doha,United States,10,0.9,Yes,Q Suite gives comfort and privacy,q suite gives comfort and privacy,7,QSuites Experience,praise
565,2023,1,Business Class,Business,Kuala Lumpur to Edinburgh via Doha,Malaysia,10,1.0,Yes,outstanding service and amenities,outstanding service and amenities,4,Good <-> Excellent/Exceptional,praise
566,2023,1,Business Class,Solo Leisure,London Heathrow to Ho Chi Minh via Doha,United Kingdom,10,0.95,Yes,best flight ever experienced,best flight ever experienced,8,Good <-> Excellent/Exceptional,praise
567,2023,1,Economy Class,Solo Leisure,Abu Dhabi to Nairobi via Doha,Kenya,5,-0.75,No,Flight was bang on time to the minute,flight was bang on time to the minute,8,Good <-> Excellent/Exceptional,praise
569,2023,1,Economy Class,Couple Leisure,Ankara to Auckland via Doha,Turkey,9,0.9,Yes,"excellent service, friendly crew","excellent service, friendly crew",4,Good <-> Excellent/Exceptional,praise
571,2023,1,Business Class,Solo Leisure,Bangkok to Paris via Doha,Australia,10,0.95,Yes,food was of an extraordinary standard,food was of an extraordinary standard,0,Food: Good/Great,praise
572,2023,1,Business Class,Solo Leisure,Munich to Bangkok via Doha,Thailand,8,0.7,Yes,"high standard of service, pleasant surprise with new seat","high standard of service, pleasant surprise with new seat",3,Comfortable Seats,praise
573,2023,1,Economy Class,Solo Leisure,Bangkok to Prague via Doha,Czech Republic,10,0.85,Yes,"Great staff, delicious food, and on time performance","great staff, delicious food, and on time performance",2,Friendly & Helpful,praise
576,2023,1,Economy Class,Family Leisure,Istanbul to Karachi via Doha,Pakistan,10,0.8,Yes,"helpful boarding staff, especially Mr Nazim","helpful boarding staff, especially mr nazim",2,Friendly & Helpful,praise
577,2022,12,Economy Class,Business,Kigali to Bangkok via Doha,Denmark,9,0.8,Yes,"exit row without charges, impressive work on luggage","exit row without charges, impressive work on luggage",8,Good <-> Excellent/Exceptional,praise
579,2022,12,Business Class,Solo Leisure,Bangkok to Munich via Doha,Germany,4,-0.4,Yes,high standard and service and catering in flights,high standard and service and catering in flights,0,Food: Good/Great,praise
580,2022,12,Economy Class,Couple Leisure,Doha to Ho Chi Minh City,Vietnam,6,0.3,Yes,"big and well equipped aircraft, good inflight entertainment","big and well equipped aircraft, good inflight entertainment",8,Good <-> Excellent/Exceptional,praise
583,2022,12,First Class,Couple Leisure,Bangkok to Doha,Norway,10,0.95,Yes,The cabin is great with very spacious seats/beds,the cabin is great with very spacious seats/beds,3,Comfortable Seats,praise
584,2022,12,Business Class,Couple Leisure,Doha to Oslo,Norway,9,0.9,Yes,"Seats are very comfortable, great food, crew attentive","seats are very comfortable, great food, crew attentive",3,Comfortable Seats,praise
585,2022,12,First Class,Solo Leisure,Doha to Boston,Qatar,10,0.95,Yes,"The crew were absolutely lovely and the offers of food, beverages and entertainment were stellar","the crew were absolutely lovely and the offers of food, beverages and entertainment were stellar",0,Food: Good/Great,praise
588,2022,12,Business Class,Solo Leisure,Cape Town to Doha,Germany,7,-0.3,Yes,Cabin Crew were on the ball and provided 1st Class Service.,cabin crew were on the ball and provided 1st class service.,6,Cabin Crew Friendly,praise
589,2022,12,Economy Class,Couple Leisure,Zurich to Doha,Qatar,9,0.9,Yes,Quality of service was impeccable,quality of service was impeccable,4,Good <-> Excellent/Exceptional,praise
590,2022,12,Premium Economy,Family Leisure,Boston to Lahore,United States,10,0.95,Yes,excellent service and experience,excellent service and experience,4,Good <-> Excellent/Exceptional,praise
591,2022,11,Economy Class,Family Leisure,Munich to Kilimanjaro via Doha,Germany,7,-0.2,Yes,"Food quality, cabin crew politeness","food quality, cabin crew politeness",6,Cabin Crew Friendly,praise
593,2022,11,Economy Class,Solo Leisure,Singapore to Frankfurt via Doha,Singapore,8,0.2,Yes,Very spacious and comfortable seats on B777,very spacious and comfortable seats on b777,3,Comfortable Seats,praise
595,2022,11,Business Class,Couple Leisure,Oslo to Singapore via Doha,Netherlands,8,-0.3,Yes,"great staff compensates, transfer was smooth","great staff compensates, transfer was smooth",2,Friendly & Helpful,praise
596,2022,11,Business Class,Solo Leisure,Denpasar to Doha,Sweden,4,-0.3,Yes,Cabin crew excellent and service minded as always,cabin crew excellent and service minded as always,6,Cabin Crew Friendly,praise
597,2022,11,Business Class,Solo Leisure,Doha to Washington,Qatar,9,0.8,Yes,Flight attendants were superb,flight attendants were superb,6,Cabin Crew Friendly,praise
599,2022,11,Economy Class,Business,Toronto to Melbourne via Doha,Canada,10,0.95,Yes,Absolutely wonderful experience,absolutely wonderful experience,5,Class Experience,praise
602,2022,11,Business Class,Solo Leisure,Frankfurt to Bangkok via Doha,Thailand,8,0.3,Yes,"good service and catering, Al Safa lounge impeccable","good service and catering, al safa lounge impeccable",0,Food: Good/Great,praise
603,2022,11,Economy Class,Solo Leisure,Frankfurt to Singapore via Doha,Germany,8,0.8,Yes,high level of service and comfort,high level of service and comfort,4,Good <-> Excellent/Exceptional,praise
604,2022,11,Economy Class,Couple Leisure,Manchester to Hyderabad via Doha,United Kingdom,10,0.95,Yes,most efficient and kindest inflight staff,most efficient and kindest inflight staff,8,Good <-> Excellent/Exceptional,praise
605,2022,11,Business Class,Solo Leisure,Edinburgh to Bangkok via Doha,United Kingdom,9,0.9,Yes,"wonderful flight, amazing staff","wonderful flight, amazing staff",8,Good <-> Excellent/Exceptional,praise
606,2022,11,Business Class,Family Leisure,Amsterdam to Dubai via Doha,Netherlands,8,0.7,Yes,"excellent cabin crew, especially Miguel and Hyeon Jin","excellent cabin crew, especially miguel and hyeon jin",6,Cabin Crew Friendly,praise
607,2022,11,Economy Class,Solo Leisure,Dallas Ft Worth to Colombo via Doha,United States,10,0.9,Yes,"Great cabin crew, food was great well presented","great cabin crew, food was great well presented",6,Cabin Crew Friendly,praise
608,2022,10,Business Class,Family Leisure,Doha to Philadelphia,United States,5,-0.3,Yes,exceptional cabin crew performance,exceptional cabin crew performance,6,Cabin Crew Friendly,praise
609,2022,10,Economy Class,Family Leisure,Bangkok to Edinburgh via Doha,United Kingdom,10,0.9,Yes,"quality service, Can’t do enough and attend to every need","quality service, can’t do enough and attend to every need",4,Good <-> Excellent/Exceptional,praise
613,2022,10,Economy Class,Family Leisure,London to Islamabad via Doha,Pakistan,10,0.9,Yes,"Business class upgrade, cabin crew positive attitude","business class upgrade, cabin crew positive attitude",6,Cabin Crew Friendly,praise
614,2022,10,Economy Class,Solo Leisure,Kuwait to Doha,Kuwait,9,0.9,Yes,Inflight service and very friendly staff,inflight service and very friendly staff,8,Good <-> Excellent/Exceptional,praise
615,2022,10,Business Class,Couple Leisure,Zurich to Mactan via Doha,Philippines,7,0.3,Yes,excellent service and friendly crew,excellent service and friendly crew,4,Good <-> Excellent/Exceptional,praise
616,2022,10,Business Class,Couple Leisure,Los Angeles to Cairo via Doha,United States,10,0.95,Yes,World class experience,world class experience,5,Class Experience,praise
617,2022,10,Business Class,Couple Leisure,Zurich to Cebu via Doha,Philippines,8,-0.2,Yes,"crew were very friendly, helpful","crew were very friendly, helpful",6,Cabin Crew Friendly,praise
618,2022,10,Business Class,Solo Leisure,Doha to Cape Town,Germany,5,-0.7,No,Cabin crew was excellent,cabin crew was excellent,6,Cabin Crew Friendly,praise
620,2022,10,Business Class,Couple Leisure,Doha to Bangkok,Thailand,7,0.3,Yes,pleasant and willing cabin crew,pleasant and willing cabin crew,6,Cabin Crew Friendly,praise
621,2022,10,Business Class,Couple Leisure,Madrid to Doha,Thailand,7,0.6,Yes,"Friendly cabin crew, good strategy for F&B service","friendly cabin crew, good strategy for f&b service",6,Cabin Crew Friendly,praise
622,2022,10,Business Class,Solo Leisure,Doha to Denpasar,Sweden,8,-0.2,Yes,friendly service minded cabin crew,friendly service minded cabin crew,6,Cabin Crew Friendly,praise
623,2022,10,Business Class,Solo Leisure,Stockholm to Doha,Sweden,8,0.3,Yes,"Nice friendly service, on the mark","nice friendly service, on the mark",4,Good <-> Excellent/Exceptional,praise
624,2022,10,Business Class,Solo Leisure,Bangkok to Frankfurt via Doha,Thailand,5,-0.3,Yes,impeccable service and great food and drinks on first leg,impeccable service and great food and drinks on first leg,0,Food: Good/Great,praise
625,2022,10,Economy Class,Couple Leisure,Johannesburg to Rome via Doha,South Africa,9,0.8,Yes,Qatar airways staff and the airport in Hamad made up for this.,qatar airways staff and the airport in hamad made up for this.,1,Doha Lounge Experience,praise
626,2022,10,Business Class,Solo Leisure,Sydney to Edinburgh via Doha,Australia,10,0.95,Yes,"luxurious, supremely comfortable seats","luxurious, supremely comfortable seats",3,Comfortable Seats,praise
627,2022,10,Business Class,Solo Leisure,Manila to Manchester via Doha,United Kingdom,10,0.95,Yes,quality & availability of the food + drinks,quality & availability of the food + drinks,0,Food: Good/Great,praise
629,2022,10,Business Class,Couple Leisure,Bangkok to Doha,Thailand,5,-0.75,Yes,Check-in in BKK a breeze.,check-in in bkk a breeze.,5,Class Experience,praise
630,2022,10,Business Class,Couple Leisure,Doha to Madrid,Thailand,7,-0.6,Yes,"cabin staff the usual friendly people, slept well","cabin staff the usual friendly people, slept well",6,Cabin Crew Friendly,praise
631,2022,10,Economy Class,Family Leisure,Mumbai to Atlanta via Doha,United States,8,0.7,Yes,"Food is good, service and comfort is good","food is good, service and comfort is good",0,Food: Good/Great,praise
634,2022,10,Business Class,Business,Doha to Montreal,Canada,10,0.9,Yes,Exceptional service provided right from boarding to disembarking,exceptional service provided right from boarding to disembarking,4,Good <-> Excellent/Exceptional,praise
635,2022,10,Business Class,Business,Doha to Miami,Spain,10,0.9,Yes,amazing experience flying with Qatar Airways,amazing experience flying with qatar airways,1,Doha Lounge Experience,praise
637,2022,10,Economy Class,Solo Leisure,Islamabad to London Gatwick via Doha,United Kingdom,10,0.8,Yes,Excellent hospitality of Qatar Airways.,excellent hospitality of qatar airways.,1,Doha Lounge Experience,praise
638,2022,10,Economy Class,Solo Leisure,Doha to Beirut,Brazil,6,0.2,No,"professional cabin crew, clean cabin","professional cabin crew, clean cabin",6,Cabin Crew Friendly,praise
641,2022,10,Business Class,Solo Leisure,Edinburgh to Brisbane via Doha / Perth,Australia,10,0.9,Yes,"excellent service, food and cleanliness","excellent service, food and cleanliness",0,Food: Good/Great,praise
642,2022,10,Economy Class,Business,Doha to Jakarta,Indonesia,9,0.7,Yes,"extremely friendly crew, very attentive and helpful","extremely friendly crew, very attentive and helpful",6,Cabin Crew Friendly,praise
643,2022,10,Economy Class,Business,Zurich to Doha,Indonesia,9,0.7,Yes,Great service at the Business/Privilege check-in counter and very helpful with fragile item. Crew very helpful and friendly again.,great service at the business/privilege check-in counter and very helpful with fragile item. crew very helpful and friendly again.,4,Good <-> Excellent/Exceptional,praise
644,2022,10,Economy Class,Business,Jakarta to Doha,Indonesia,8,0.8,Yes,"friendly staff, well managed flight","friendly staff, well managed flight",8,Good <-> Excellent/Exceptional,praise
645,2022,10,Economy Class,Solo Leisure,Abu Dhabi to Johannesburg via Doha,United Arab Emirates,10,0.9,Yes,Their cabin crew are the best,their cabin crew are the best,6,Cabin Crew Friendly,praise
648,2022,10,Economy Class,Solo Leisure,Doha to Miami,India,10,0.9,Yes,Jolina took good care of me,jolina took good care of me,5,Class Experience,praise
649,2022,9,Economy Class,Business,London to Islamabad via Doha,United Kingdom,10,0.87,Yes,Seats were very comfortable and massive amounts of legroom,seats were very comfortable and massive amounts of legroom,3,Comfortable Seats,praise
651,2022,9,Business Class,Solo Leisure,Singapore to Doha,Germany,8,0.8,Yes,service was first rate and the cook to order menu was truly fantastic,service was first rate and the cook to order menu was truly fantastic,0,Food: Good/Great,praise
652,2022,9,Economy Class,Couple Leisure,Doha to Brussels,Belgium,2,-0.8,No,staff is always okay on Qatar flights,staff is always okay on qatar flights,1,Doha Lounge Experience,praise
654,2022,9,Economy Class,Solo Leisure,Perth to London via Doha,Australia,8,-0.2,Yes,"Comfortable seats, good movies, accommodating ground staff","comfortable seats, good movies, accommodating ground staff",3,Comfortable Seats,praise
657,2022,9,Economy Class,Solo Leisure,Bangkok to Doha,Denmark,8,0.7,Yes,"FA attention, good IFE, wine glasses allowed","fa attention, good ife, wine glasses allowed",5,Class Experience,praise
658,2022,9,Business Class,Couple Leisure,Singapore to Kilimanjaro via Doha,Hong Kong,9,0.85,Yes,lie-flat seat on Business Class made for a good night's sleep,lie-flat seat on business class made for a good night's sleep,3,Comfortable Seats,praise
659,2022,9,Business Class,Business,Hyderabad to Atlanta via Doha,United States,10,0.9,Yes,Qatar Airways staff made it extremely comfortable,qatar airways staff made it extremely comfortable,1,Doha Lounge Experience,praise
661,2022,9,Economy Class,Couple Leisure,New York to Bucharest via Doha,Romania,10,0.9,Yes,surprise was so big,surprise was so big,5,Class Experience,praise
662,2022,9,Economy Class,Solo Leisure,"Lagos, Nigeria to London Heathrow via Doha, Qatar",Nigeria,10,0.9,Yes,Cabin crew attitude was excellent all through the flight,cabin crew attitude was excellent all through the flight,6,Cabin Crew Friendly,praise
663,2022,9,Economy Class,Solo Leisure,Maputo to Lahore via Doha,Pakistan,10,0.85,Yes,fulfilling all the expectation,fulfilling all the expectation,5,Class Experience,praise
664,2022,9,Economy Class,Family Leisure,Tunis to Entebbe via Doha,Uganda,10,0.85,Yes,hostess were very kind,hostess were very kind,6,Cabin Crew Friendly,praise
665,2022,9,Business Class,Business,Doha to New York,United States,10,0.9,Yes,Qatar stand out in quality of service,qatar stand out in quality of service,1,Doha Lounge Experience,praise
666,2022,9,Economy Class,Family Leisure,Doha to Kuala Lumpur,Iraq,10,0.8,Yes,Thank you to all the staff at Hamad International Airport and Hamad Medical Corporation,thank you to all the staff at hamad international airport and hamad medical corporation,8,Good <-> Excellent/Exceptional,praise
667,2022,9,Economy Class,Solo Leisure,Vienna to Jakarta via Doha,Australia,8,0.7,Yes,Seats comfortable with enough leg space,seats comfortable with enough leg space,3,Comfortable Seats,praise
668,2022,8,Business Class,Couple Leisure,Doha to London Heathrow,Qatar,7,0.2,Yes,"QSuites seats are comfortable, IFE was very good","qsuites seats are comfortable, ife was very good",7,QSuites Experience,praise
670,2022,8,Business Class,Business,Islamabad to Manchester via Doha,United Kingdom,10,0.95,Yes,Qsuite clean and comfortable,qsuite clean and comfortable,7,QSuites Experience,praise
671,2022,8,Business Class,Business,Milan to Doha,Spain,10,0.9,Yes,"services are excellent, cabin crew very well mannered and friendly","services are excellent, cabin crew very well mannered and friendly",6,Cabin Crew Friendly,praise
672,2022,8,Economy Class,Family Leisure,Nairobi to San Diego via Doha,United States,7,-0.3,Yes,Helpful employee at baggage claim,helpful employee at baggage claim,2,Friendly & Helpful,praise
673,2022,8,Business Class,Solo Leisure,Doha to Singapore,Germany,8,0.8,Yes,service by Gabriel first rate,service by gabriel first rate,4,Good <-> Excellent/Exceptional,praise
674,2022,8,Business Class,Solo Leisure,Madrid to Hong Kong via Doha,Hong Kong,8,0.8,Yes,"Fabulous service and offerings, Thoughtful and lovely crew","fabulous service and offerings, thoughtful and lovely crew",6,Cabin Crew Friendly,praise
675,2022,8,Economy Class,Couple Leisure,Philadelphia to Nagpur via Doha,United States,9,0.7,Yes,"excellent inflight entertainment, professional staff, reasonable food","excellent inflight entertainment, professional staff, reasonable food",0,Food: Good/Great,praise
677,2022,8,Economy Class,Family Leisure,Cairo to Dallas via Doha,Canada,10,0.9,Yes,"amazing, delicious meal service, kind crew","amazing, delicious meal service, kind crew",0,Food: Good/Great,praise
682,2022,8,Economy Class,Family Leisure,Mumbai to Los Angeles via Doha,India,9,0.9,Yes,"pleasant experience, excellent vegetarian meal","pleasant experience, excellent vegetarian meal",0,Food: Good/Great,praise
690,2022,7,Economy Class,Solo Leisure,New York JFK to Delhi via Doha,United States,10,0.95,Yes,amazing customer service from start to finish,amazing customer service from start to finish,4,Good <-> Excellent/Exceptional,praise
691,2022,7,Economy Class,Solo Leisure,Lagos to Montreal via Doha,Canada,9,0.9,Yes,Cabin crew were amazing. In-flight service is the best I've had so far.,cabin crew were amazing. in-flight service is the best i've had so far.,6,Cabin Crew Friendly,praise
692,2022,7,Business Class,Couple Leisure,London to Durban via Doha,South Africa,10,0.95,Yes,stewards / stewardesses were exceptional,stewards / stewardesses were exceptional,6,Cabin Crew Friendly,praise
693,2022,7,Economy Class,Family Leisure,London to Doha,Bermuda,10,0.85,Yes,Qatar Airways staff were most exceptional,qatar airways staff were most exceptional,1,Doha Lounge Experience,praise
697,2022,7,Economy Class,Solo Leisure,Singapore to Edinburgh via Doha,Singapore,9,0.9,Yes,best flight ever,best flight ever,8,Good <-> Excellent/Exceptional,praise
701,2022,7,Economy Class,Solo Leisure,San Francisco to Chennai via Doha,United States,9,0.9,Yes,Fantastic experience with Economy class,fantastic experience with economy class,5,Class Experience,praise
704,2022,7,Business Class,Solo Leisure,Melbourne to London via Doha,Australia,10,0.95,Yes,best airline I have ever used,best airline i have ever used,8,Good <-> Excellent/Exceptional,praise
705,2022,7,Business Class,Business,Bangkok to Warsaw via Doha,Thailand,6,0.1,Yes,"Good seats on this trip; not Qsuites, but not the dreaded 2-2-2 configuration.","good seats on this trip; not qsuites, but not the dreaded 2-2-2 configuration.",7,QSuites Experience,praise
706,2022,7,Economy Class,Business,Doha to London,United Kingdom,10,0.95,Yes,"seating is very spacious, food is of a high standard and inflight entertainment excellent","seating is very spacious, food is of a high standard and inflight entertainment excellent",3,Comfortable Seats,praise
709,2022,7,Economy Class,Family Leisure,Chennai to Washington via Doha,United States,9,0.85,Yes,"customer care, cabin crew, food, Hamad international airport","customer care, cabin crew, food, hamad international airport",8,Good <-> Excellent/Exceptional,praise
710,2022,7,Economy Class,Solo Leisure,Jakarta to Doha,Qatar,9,0.7,Yes,"Comfortable flight, food is good, crew was fine","comfortable flight, food is good, crew was fine",8,Good <-> Excellent/Exceptional,praise
711,2022,7,Economy Class,Solo Leisure,Nairobi to Doha,Qatar,10,0.95,Yes,smoothest flight I've ever experienced,smoothest flight i've ever experienced,8,Good <-> Excellent/Exceptional,praise
714,2022,7,Economy Class,Couple Leisure,Dublin to Bangkok via Doha,Ireland,10,0.9,Yes,"Great experience overall, food vouchers offered","great experience overall, food vouchers offered",0,Food: Good/Great,praise
715,2022,7,Business Class,Couple Leisure,Philadelphia to Male via Doha,United States,3,-0.3,No,"service, food and seats were enjoyable","service, food and seats were enjoyable",0,Food: Good/Great,praise
724,2022,6,Business Class,Solo Leisure,Doha to London,Thailand,9,0.75,Yes,quality of the seat is excellent,quality of the seat is excellent,3,Comfortable Seats,praise
725,2022,6,Business Class,Solo Leisure,Bangkok to Doha,Thailand,9,0.8,Yes,"service was supremely good, A380 seat is excellent","service was supremely good, a380 seat is excellent",3,Comfortable Seats,praise
726,2022,6,Economy Class,Business,Copenhagen to Ho Chi Minh City via Doha,Denmark,10,1.0,Yes,"All flights on time, all luggage handled perfectly","all flights on time, all luggage handled perfectly",8,Good <-> Excellent/Exceptional,praise
728,2022,6,Business Class,Business,Brussels to Kuala Lumpur via Doha,Malaysia,10,0.85,Yes,kudos to the Qatar Airways team,kudos to the qatar airways team,1,Doha Lounge Experience,praise
729,2022,6,Economy Class,Solo Leisure,Chengdu to Amman via Doha & Hong Kong,China,9,0.3,Yes,cabin crew was excellent and very friendly,cabin crew was excellent and very friendly,6,Cabin Crew Friendly,praise
730,2022,6,Economy Class,Solo Leisure,Brisbane to Brussels via Doha,Australia,2,-0.3,No,food was delicious,food was delicious,0,Food: Good/Great,praise
731,2022,6,Business Class,Couple Leisure,Cebu to Zurich via Doha,Philippines,8,-0.3,Yes,amazing flight attendants,amazing flight attendants,6,Cabin Crew Friendly,praise
733,2022,6,First Class,Solo Leisure,Doha to Beirut,Lebanon,10,0.9,Yes,"service was great, flight attendants pleasant and efficient","service was great, flight attendants pleasant and efficient",8,Good <-> Excellent/Exceptional,praise
734,2022,6,Business Class,Solo Leisure,Amsterdam to Phuket via Doha,Netherlands,9,0.9,Yes,truly a premier experience,truly a premier experience,5,Class Experience,praise
735,2022,6,Economy Class,Solo Leisure,Frankfurt to Bangkok via Doha,Thailand,8,0.4,Yes,"comfortable and service oriented flight, pleasant upgrade","comfortable and service oriented flight, pleasant upgrade",8,Good <-> Excellent/Exceptional,praise
739,2022,6,Economy Class,Solo Leisure,Johannesburg to Washington DC via Doha,United States,10,0.9,Yes,"professionalism of the crew, cleanliness","professionalism of the crew, cleanliness",6,Cabin Crew Friendly,praise
740,2022,6,Economy Class,Family Leisure,Toronto to Kozhikode via Montreal / Doha,Canada,10,0.9,Yes,service by all the staff was amazing,service by all the staff was amazing,4,Good <-> Excellent/Exceptional,praise
